question,worker,answer
coast hill,A2XON1EQOHHFE4,5
coast hill,A4HDO1M600QW5,7
coast hill,A3CWG4SYLGAMHV,4
coast hill,AZ8KL6F16ZS7G,5
coast hill,A227TAJC8MOYK5,0
coast hill,A8CQRBBVE7VED,2
bird crane,A19PMUTQXDIPLZ,8
bird crane,A1ASWQQ7MSIQR7,4
bird crane,A1VKZFYJL9MQRY,8
bird crane,A309DAE1D13T8V,10
bird crane,A2XON1EQOHHFE4,9
bird crane,A4HDO1M600QW5,8
bird crane,A3CWG4SYLGAMHV,6
bird crane,AZ8KL6F16ZS7G,10
bird crane,A227TAJC8MOYK5,8
bird crane,A8CQRBBVE7VED,9
food rooster,A19PMUTQXDIPLZ,2
food rooster,A1ASWQQ7MSIQR7,0
food rooster,A1VKZFYJL9MQRY,0
food rooster,A309DAE1D13T8V,8
food rooster,A2XON1EQOHHFE4,7
food rooster,A4HDO1M600QW5,8
food rooster,A3CWG4SYLGAMHV,4
food rooster,AZ8KL6F16ZS7G,9
food rooster,A227TAJC8MOYK5,3
food rooster,A8CQRBBVE7VED,2
furnace stove,A19PMUTQXDIPLZ,9
furnace stove,A1ASWQQ7MSIQR7,2
furnace stove,A1VKZFYJL9MQRY,9
furnace stove,A309DAE1D13T8V,9
furnace stove,A2XON1EQOHHFE4,9
furnace stove,A4HDO1M600QW5,9
furnace stove,A3CWG4SYLGAMHV,4
furnace stove,AZ8KL6F16ZS7G,9
furnace stove,A227TAJC8MOYK5,4
furnace stove,A8CQRBBVE7VED,9
monk oracle,A19PMUTQXDIPLZ,6
monk oracle,A1ASWQQ7MSIQR7,1
monk oracle,A1VKZFYJL9MQRY,0
monk oracle,A309DAE1D13T8V,8
monk oracle,A2XON1EQOHHFE4,4
monk oracle,A4HDO1M600QW5,8
monk oracle,A3CWG4SYLGAMHV,6
monk oracle,AZ8KL6F16ZS7G,9
monk oracle,A227TAJC8MOYK5,8
monk oracle,A8CQRBBVE7VED,1
noon string,A19PMUTQXDIPLZ,2
noon string,A1ASWQQ7MSIQR7,0
noon string,A1VKZFYJL9MQRY,0
noon string,A309DAE1D13T8V,0
noon string,A2XON1EQOHHFE4,0
noon string,A4HDO1M600QW5,0
noon string,A3CWG4SYLGAMHV,0
noon string,AZ8KL6F16ZS7G,0
noon string,A227TAJC8MOYK5,0
noon string,A8CQRBBVE7VED,0
magician wizard,A19PMUTQXDIPLZ,9
magician wizard,A1ASWQQ7MSIQR7,9
magician wizard,A1VKZFYJL9MQRY,10
magician wizard,A309DAE1D13T8V,10
magician wizard,A2XON1EQOHHFE4,9
magician wizard,A4HDO1M600QW5,10
magician wizard,A3CWG4SYLGAMHV,9
magician wizard,AZ8KL6F16ZS7G,9
magician wizard,A227TAJC8MOYK5,9
magician wizard,A8CQRBBVE7VED,7
shore woodland,A19PMUTQXDIPLZ,0
shore woodland,A1ASWQQ7MSIQR7,0
shore woodland,A1VKZFYJL9MQRY,0
shore woodland,A309DAE1D13T8V,6
shore woodland,A2XON1EQOHHFE4,3
shore woodland,A4HDO1M600QW5,7
shore woodland,A3CWG4SYLGAMHV,4
shore woodland,AZ8KL6F16ZS7G,9
shore woodland,A227TAJC8MOYK5,0
shore woodland,A8CQRBBVE7VED,1
rooster voyage,A19PMUTQXDIPLZ,2
rooster voyage,A1ASWQQ7MSIQR7,0
rooster voyage,A1VKZFYJL9MQRY,0
rooster voyage,A309DAE1D13T8V,0
rooster voyage,A2XON1EQOHHFE4,0
rooster voyage,A4HDO1M600QW5,0
rooster voyage,A3CWG4SYLGAMHV,0
rooster voyage,AZ8KL6F16ZS7G,0
rooster voyage,A227TAJC8MOYK5,0
rooster voyage,A8CQRBBVE7VED,0
journey voyage,A19PMUTQXDIPLZ,9
journey voyage,A1ASWQQ7MSIQR7,10
journey voyage,A1VKZFYJL9MQRY,9
journey voyage,A309DAE1D13T8V,10
journey voyage,A2XON1EQOHHFE4,10
journey voyage,A4HDO1M600QW5,10
journey voyage,A3CWG4SYLGAMHV,10
journey voyage,AZ8KL6F16ZS7G,9
journey voyage,A227TAJC8MOYK5,9
journey voyage,A8CQRBBVE7VED,8
car journey,A19PMUTQXDIPLZ,6
car journey,A1ASWQQ7MSIQR7,0
car journey,A1VKZFYJL9MQRY,0
car journey,A309DAE1D13T8V,6
car journey,A2XON1EQOHHFE4,8
car journey,A4HDO1M600QW5,9
car journey,A3CWG4SYLGAMHV,6
car journey,AZ8KL6F16ZS7G,7
car journey,A227TAJC8MOYK5,1
car journey,A8CQRBBVE7VED,0
glass magician,A19PMUTQXDIPLZ,5
glass magician,A1ASWQQ7MSIQR7,0
glass magician,A1VKZFYJL9MQRY,0
glass magician,A309DAE1D13T8V,0
glass magician,A2XON1EQOHHFE4,5
glass magician,A4HDO1M600QW5,2
glass magician,A3CWG4SYLGAMHV,0
glass magician,AZ8KL6F16ZS7G,8
glass magician,A227TAJC8MOYK5,0
glass magician,A8CQRBBVE7VED,0
coast forest,A19PMUTQXDIPLZ,0
coast forest,A1ASWQQ7MSIQR7,0
coast forest,A1VKZFYJL9MQRY,0
coast forest,A309DAE1D13T8V,5
coast forest,A2XON1EQOHHFE4,4
coast forest,A4HDO1M600QW5,7
coast forest,A3CWG4SYLGAMHV,4
coast forest,AZ8KL6F16ZS7G,9
coast forest,A227TAJC8MOYK5,0
coast forest,A8CQRBBVE7VED,1
cord smile,A19PMUTQXDIPLZ,0
cord smile,A1ASWQQ7MSIQR7,0
cord smile,A1VKZFYJL9MQRY,0
cord smile,A309DAE1D13T8V,0
cord smile,A2XON1EQOHHFE4,3
cord smile,A4HDO1M600QW5,0
cord smile,A3CWG4SYLGAMHV,0
cord smile,AZ8KL6F16ZS7G,0
cord smile,A227TAJC8MOYK5,0
cord smile,A8CQRBBVE7VED,0
coast shore,A19PMUTQXDIPLZ,9
coast shore,A1ASWQQ7MSIQR7,10
coast shore,A1VKZFYJL9MQRY,10
coast shore,A309DAE1D13T8V,10
coast shore,A2XON1EQOHHFE4,10
coast shore,A4HDO1M600QW5,10
coast shore,A3CWG4SYLGAMHV,10
coast shore,AZ8KL6F16ZS7G,10
coast shore,A227TAJC8MOYK5,9
coast shore,A8CQRBBVE7VED,10
